Company Name,Job Position,Category,Seniority,Salary,Posting Requirements,Job Details
 ComScore , Spark(Java or Scala) Developer ," Data ,  Spark ", Mid , 20 000  – 25 000 ," Spark ,  Java ,  Scala ,  Linux ,  API ,  English "," Start ASAP ,  Permanent contract ,  Fully remote "
 SOFTIQ Sp. z o.o. , Analityk/Projektant systemów IT , Business Analysis , Mid , 12 000  – 19 800 ," BPMN ,  UML ,  SQL ,  Enterprise Architect ,  System analysis ,  Business analysis ,  Sparx Enterprise Architect ,  Polish (C1),  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 Link Group , Business Analyst/Scrum Master , Business Analysis , Senior , 30 000  – 36 000 ," SDLC ,  Jira ,  SQL Server ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 3 days a week "
 Connectis_ , Remote Analityk Systemowy , Business Analysis , Mid , 19 000  – 25 000 ," BPMN ,  UML ,  Polish "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote "
 Link Group , Analityk biznesowo-systemowy - Remote , Business Analysis , Mid , 18 000  – 22 000 ," REST API ,  UML ,  BPMN ,  Use cases ,  User stories ,  English (B2)"," Start ASAP ,  Permanent contract ,  Fully remote "
 Link Group , Remote Data Engineer with Azure ," Data ,  PySpark ", Senior , 20 160  – 33 600 ," Python ,  PySpark ,  Azure ,  Data engineering ,  English (B2)"," Start ASAP ,  Permanent contract ,  Fully remote "
 DEVnet High Performance Solutions Sp. z o.o.  , Data Analyst with programming skills , Business Analysis , Mid , 13 000  – 18 400 ," Python ,  SQL ,  Knowledge of algorithms ,  Experience in the integration of data ,  Knowledge of coding standards ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 4 days a week ,  No travel involved "
 Link Group , Data Analyst ," Data ,  Python "," Mid, Senior ", 17 000  – 20 000 ," Python ,  BSc ,  SQL ,  Tableau ,  Qlik ,  PowerBI ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 2 days a week ,  Flexible hours "
 Link Group , Remote Qlik Mid Developer , Business Intelligence , Mid , 16 800  – 23 520 ," QlikView ,  Qlik Sense ,  SQL ,  ETL ,  Polish ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours ,  No travel involved "
 PKO Finat Sp. z o.o. , Analityk Systemowy e-Doręczenia , Business Analysis , Mid , 18 480  – 21 000 ," UML ,  BPMN ,  Enterprise Architect ,  Jira ,  SQL ,  System analysis ,  Business analysis ,  Polish "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 Link Group , Data Engineer in Banking ," Data ,  Python ", Mid , 21 000  – 26 000 ," Python ,  Data Managment ,  banking ,  Excel ,  SQL ,  ETL ,  Python scripts ,  English (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 3 days a week "
 Link Group ,  Data Engineer with Spark ," Data ,  Spark ", Senior , 35 000  – 40 000 ," Spark ,  Python ,  Kubernetes ,  MongoDB ,  Databricks ,  English "," Start ASAP ,  Permanent contract ,  Remote for 2 days a week "
 Link Group , Remote ETL Developer , Data ," Mid, Senior ", 19 000  – 22 000 ," Informatica ,  Oracle SQL ,  DWH ,  XML ,  Jira ,  English (B2)"," Online recruitment ,  Start on 2023-05-23 ,  Permanent contract ,  Fully remote "
 Link Group , Remote Senior Data Lake Engineer ," Data ,  AWS ", Senior , 20 160  – 26 880 ," AWS ,  Snowflake ,  SQL ,  dbt ,  Airflow ,  Docker ,  Jenkins ,  Terraform ,  English (C1),  Polish "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  No travel involved ,  Mainly new features "
 Elitmind , Power BI Developer , Business Intelligence ," Mid, Senior ", 14 000  – 20 000 ," Power BI ,  DAX ,  English ,  Polish "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 Proxi.cloud sp. z o.o , Junior Data Analyst ," Data ,  SQL ", Junior , 5 500  – 7 500 , SQL ," Online recruitment ,  Start on 2023-04-03 ,  Permanent contract ,  Fully remote ,  Fixed working hours "
 Sii Polska , Business Architect – financial industry , Business Analysis , Senior , 27 300 ," ARIS ,  Agile ,  Data management ,  UML ,  BPMN ,  Casewise ,  English ,  Polish "," Start ASAP ,  Permanent contract ,  Fully remote "
 Link Group , Remote Scala Big Data Developer  ," Data ,  Scala "," Mid, Senior ", 26 880  – 31 920 ," Scala ,  Spark ,  Hadoop ,  Impala ,  Jenkins ,  Jira ,  Bitbucket ,  Git ,  English (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 Link Group , Senior Cloud Data Engineer  ," Data ,  SQL ", Senior , 27 000  – 35 000 ," SQL ,  Python ,  Data management ,  Git ,  Testing ,  Agile ,  Storage ,  English (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Flexible hours "
 Elitmind , Senior Snowflake Engineer , Business Intelligence ," Senior, Expert ", 20 000  – 28 000 ," Snowflake ,  Python ,  Oracle DB ,  ETL ,  Database administration ,  SnowSQL ,  SnowPipe ,  Oracle ,  AWS RDS ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours ,  No travel involved "
